id,code,lbl,type,order_by,is_locked,is_sys,is_add
RboeLeiwQ6qCs3aFA04+WA,is_deleted,删除,boolean,1,1,1,0
CGj3tZtKThK1EaENmjvoWA,is_locked,锁定,boolean,2,1,1,0
o9GwL7PXSaG6gLDZ8oprwg,is_enabled,启用,boolean,3,1,1,0
gz4l/BOHTUSFycFLIz+IsQ,is_default,默认,boolean,4,1,1,0
SalPh8+ISqWwyyur3U+DcA,is_sys,系统记录,boolean,5,1,1,0
oMfKFOvtQz+X+2BFT7RBqw,dict_type,系统字典-数据类型,string,6,1,1,0
5fHSeoTSQCGjsjacOcsbPQ,background_task_state,后台任务-状态,string,7,1,1,0
gZEUbwGnRtC6gWoMMrGS0g,background_task_type,后台任务-类型,string,8,1,1,0
HkN1YAmIQtiQg7gzH9ijuA,yes_no,是否,boolean,10,1,1,0
w5P7uguASN2gSTY5HQKIKg,data_permit_scope,数据权限-范围,string,11,1,1,0
MQOcbGreQUqQG1EFWMbkVQ,data_permit_type,数据权限-类型,string,12,1,1,0
T0lgQA4dQuCqw2DhMBjo/Q,field_permit_type,字段权限-类型,string,13,1,1,0
yXJTfqU3T4KQmz4DtVxagg,login_log_type,登录日志-登录类型,string,14,1,1,0
W9e373o3RfyNR0kdlOYSiw,usr_type,用户-类型,string,15,1,1,0