id,lang_id,dict_id,lbl
WuYvZ/HjSce2dFYT34+qeg,MGExYjJhODVkY2FlNDI4OW,RboeLeiwQ6qCs3aFA04+WA,删除
UXFgCIIxR/GfeLZHg+tkHw,MGExYjJhODVkY2FlNDI4OW,CGj3tZtKThK1EaENmjvoWA,锁定
fJtkbJM6RXyljoTOlwUpzQ,MGExYjJhODVkY2FlNDI4OW,o9GwL7PXSaG6gLDZ8oprwg,启用
daPqsaKuR+q9TBjiPvIu/g,MGExYjJhODVkY2FlNDI4OW,gz4l/BOHTUSFycFLIz+IsQ,默认
+qsUov2DRIaxww8LVnablg,MGExYjJhODVkY2FlNDI4OW,SalPh8+ISqWwyyur3U+DcA,系统记录
9KCtjngWRLqzItvMX6mRsg,MGExYjJhODVkY2FlNDI4OW,oMfKFOvtQz+X+2BFT7RBqw,系统字典-数据类型
X/RaVugFQA+OUsqSHey7bg,MGExYjJhODVkY2FlNDI4OW,5fHSeoTSQCGjsjacOcsbPQ,后台任务-状态
uXt7c9PbS+WKG7HAkCrqgQ,MGExYjJhODVkY2FlNDI4OW,gZEUbwGnRtC6gWoMMrGS0g,后台任务-类型
+54xSXiuSue7MxpiQEivPg,MGExYjJhODVkY2FlNDI4OW,HkN1YAmIQtiQg7gzH9ijuA,是否
Mf/5ZyHKRy27XObPGaIgYQ,MGExYjJhODVkY2FlNDI4OW,w5P7uguASN2gSTY5HQKIKg,数据权限-范围
yUL6RpNNQ9CmR3rUUknXnA,MGExYjJhODVkY2FlNDI4OW,MQOcbGreQUqQG1EFWMbkVQ,数据权限-类型
WOCHUgggRAGjHxVPT6edJA,MGExYjJhODVkY2FlNDI4OW,T0lgQA4dQuCqw2DhMBjo/Q,字段权限-类型
UTFwGwv0TZucqKBPA1Jgug,MGExYjJhODVkY2FlNDI4OW,yXJTfqU3T4KQmz4DtVxagg,登录日志-登录类型
C22G2VXISTy0g8JU+kykGQ,MGExYjJhODVkY2FlNDI4OW,W9e373o3RfyNR0kdlOYSiw,用户-类型
,,,
08gcC8WwT1OaFLTYFqdaJg,eYHRCo6WQFm4TBWYzAdERg,RboeLeiwQ6qCs3aFA04+WA,Delete
U+lM9953QaeMycSVXsVexA,eYHRCo6WQFm4TBWYzAdERg,CGj3tZtKThK1EaENmjvoWA,Lock
r4VgHPNZT72h1hhXT+vU6w,eYHRCo6WQFm4TBWYzAdERg,o9GwL7PXSaG6gLDZ8oprwg,Enable
9LeCSi9gTii+p3g2zljGrA,eYHRCo6WQFm4TBWYzAdERg,gz4l/BOHTUSFycFLIz+IsQ,Default
b4iCdMJ4SYivB5dfWI6dTQ,eYHRCo6WQFm4TBWYzAdERg,SalPh8+ISqWwyyur3U+DcA,System Record
zDmChgATTNmTKIYguv78cg,eYHRCo6WQFm4TBWYzAdERg,oMfKFOvtQz+X+2BFT7RBqw,System Dict-Data Type
yab9EaysQsyM3C0b5Jw57g,eYHRCo6WQFm4TBWYzAdERg,5fHSeoTSQCGjsjacOcsbPQ,Background Task-Status
wauz87h5TOGjULqMDxTo+g,eYHRCo6WQFm4TBWYzAdERg,gZEUbwGnRtC6gWoMMrGS0g,Background Task-Type
r/uA9rGtTp2FHSIj58t0/Q,eYHRCo6WQFm4TBWYzAdERg,HkN1YAmIQtiQg7gzH9ijuA,Yes No
r3iFmLNYQ3yf02z+9fdIBQ,eYHRCo6WQFm4TBWYzAdERg,w5P7uguASN2gSTY5HQKIKg,Data Permit-Scope
1S3Kw+aLQeO53dY+bVEwhw,eYHRCo6WQFm4TBWYzAdERg,MQOcbGreQUqQG1EFWMbkVQ,Data Permit-Type
j5G4NpH2Swq1JkRnCb6ymA,eYHRCo6WQFm4TBWYzAdERg,T0lgQA4dQuCqw2DhMBjo/Q,Field Permit-Type
xJumzj48Qa6kHFapefYAYw,eYHRCo6WQFm4TBWYzAdERg,yXJTfqU3T4KQmz4DtVxagg,Login Log-Login Type
XbJ94EgGSU2nYMuH0xvj7w,eYHRCo6WQFm4TBWYzAdERg,W9e373o3RfyNR0kdlOYSiw,User-Type