img,code,lbl,is_enabled,order_by
/pc/src/assets/iconfont/app-store-fill.svg,app-store-fill,应用填充,1,1
/pc/src/assets/iconfont/audit.svg,audit,审核,1,2
/pc/src/assets/iconfont/dadianhua-fill.svg,dadianhua-fill,打电话填充,1,3
/pc/src/assets/iconfont/dizhi-fill.svg,dizhi-fill,地址填充,1,4
/pc/src/assets/iconfont/home-fill.svg,home-fill,首页填充,1,5
/pc/src/assets/iconfont/loading.svg,loading,加载中,1,6
/pc/src/assets/iconfont/locales.svg,locales,语言,1,7
/pc/src/assets/iconfont/logout.svg,logout,登出,1,8
/pc/src/assets/iconfont/moon-fill.svg,moon-fill,月亮填充,1,9
/pc/src/assets/iconfont/pc.svg,pc,电脑,1,10
/pc/src/assets/iconfont/qrcode.svg,qrcode,二维码,1,11
/pc/src/assets/iconfont/question-circle.svg,question-circle,问题圆形,1,12
/pc/src/assets/iconfont/sun.svg,sun,太阳,1,13
/pc/src/assets/iconfont/undo-fill.svg,undo-fill,撤销填充,1,14
/pc/src/assets/iconfont/undo.svg,undo,撤销,1,15
/pc/src/assets/iconfont/weixin-fill.svg,weixin-fill,微信填充,1,16
/pc/src/assets/iconfont/youxiang-fill.svg,youxiang-fill,邮箱填充,1,17
/uni/src/assets/iconfont/bottom.svg,bottom,向下,1,18
/uni/src/assets/iconfont/check.svg,check,勾选,1,19
/uni/src/assets/iconfont/password.svg,password,密码,1,20
/uni/src/assets/iconfont/tenant.svg,tenant,租户,1,21
/uni/src/assets/iconfont/user.svg,user,用户,1,22