id,parent_id,lbl,route_path,is_home_hide,is_enabled,is_hidden,order_by
6ZeQOSTtRpGy+467HJZuBw,,系统管理,,0,1,0,10000
LiRTLUICQA2SRlJgYoNmnA,6ZeQOSTtRpGy+467HJZuBw,菜单,/base/menu,0,1,0,10001
1oTQS2N4TsKhvk7Rnq4hAg,6ZeQOSTtRpGy+467HJZuBw,角色,/base/role,0,1,0,10002
39x+H1+ORkq2kagjfYlSgw,6ZeQOSTtRpGy+467HJZuBw,域名,/base/domain,0,1,0,10003
TO8DBpthSvG2/XDWOwAqtA,6ZeQOSTtRpGy+467HJZuBw,租户,/base/tenant,0,1,0,10031
AE6NzvHDQ3CSMdhPlSHCdg,6ZeQOSTtRpGy+467HJZuBw,用户,/base/usr,0,1,0,10041
9mMZgzvwTNWB8glB+h4KFg,6ZeQOSTtRpGy+467HJZuBw,后台任务,/base/background_task,0,0,0,10043
K2mq1MJTRdeqyP7f9oFTIQ,6ZeQOSTtRpGy+467HJZuBw,系统选项,/base/options,0,1,0,10045
m2YNsC/+RHOG66TLKjMHlA,6ZeQOSTtRpGy+467HJZuBw,业务选项,/base/optbiz,0,1,0,10046
ecLh8jMSQgi3N1qWaWgdsA,6ZeQOSTtRpGy+467HJZuBw,操作记录,/base/operation_record,0,1,0,10047
URsPZOBmRrCCcqZBI4J3xw,6ZeQOSTtRpGy+467HJZuBw,组织,/base/org,0,1,0,10048
L+1jMngoQImVmBCHnhcz8A,6ZeQOSTtRpGy+467HJZuBw,部门,/base/dept,0,1,0,10049
UVFbKnOJRfelRv93YtbqBQ,6ZeQOSTtRpGy+467HJZuBw,系统字典,/base/dict,0,1,0,10051
PJk939H5R8iY8o+jZ2rQkg,6ZeQOSTtRpGy+467HJZuBw,系统字典明细,/base/dict_detail,0,0,1,10052
HTt8ThGSRO2Gisb0ym4XbA,6ZeQOSTtRpGy+467HJZuBw,业务字典,/base/dictbiz,0,1,0,10053
CLS7/z9CRoqU72vUE7vdGA,6ZeQOSTtRpGy+467HJZuBw,业务字典明细,/base/dictbiz_detail,0,0,1,10054
avUSu4oaRnuqAAZ5zXxX9g,6ZeQOSTtRpGy+467HJZuBw,语言,/base/lang,0,1,0,10055
5lhD4VfTQs2vzkZUx8U+ew,6ZeQOSTtRpGy+467HJZuBw,国际化,/base/i18n,0,1,0,10056
vU3glaDcRtSU6zYA02lxbA,6ZeQOSTtRpGy+467HJZuBw,按钮权限,/base/permit,0,0,0,10057
udIlgfLwS4SoJ8ZnLl8CqQ,6ZeQOSTtRpGy+467HJZuBw,数据权限,/base/data_permit,0,1,0,10058
yOszxpUcTtCwoUZvFeXhow,6ZeQOSTtRpGy+467HJZuBw,字段权限,/base/field_permit,0,0,1,10059
6Z68pDPOR9K4RYzKB0W/qQ,6ZeQOSTtRpGy+467HJZuBw,登录日志,/base/login_log,0,1,0,10060
BFzmxWyOQp6ynDfWZakidw,6ZeQOSTtRpGy+467HJZuBw,图标库,/base/icon,0,1,0,10061
u6u2+OH9QJCw1QTvDvyFVg,6ZeQOSTtRpGy+467HJZuBw,动态页面,/base/dyn_page,0,1,0,10062